きょうしつのことば;kyooshitsu no kotoba;ordbok for klasserommet
がくせい;gakusei;student
せんせい;sensei;lærer
じゅこうしゃ;jukousha;kurselev
みなさん;minasan;alle sammen
みんな;minna;alle
ともだち;tomodachi;venn
となりのひと;tonari no hito;personen ved siden av
がっこう;gakkou;skole
きょうしつ;kyooshitsu;klasserom
じゅぎょう;jugyou;undervisning
じむしつ;jimushitsu;kontor
クラス;kurasu;klasse
いす;isu;stol
つくえ;tsukue;skrivebord
えんぴつ;enpitsu;blyant
ペン;pen;penn
じしょ;jisho;ordbok
けいたいでんわ;keitai denwa;mobiltelefon
きょうかしょ;kyoukasho;lærebok
ページ;peeji;side (i bok)
コンピューター;konpyuutaa;datamaskin
ホワイトボード;howaito boodo;tavle
