もんだい;mondai;oppgave
こたえ;kotae;svar
ばんごう;bangou;nummer
まる;maru;sirkel (riktig)
ばつ;batsu;kryss (feil)
れい;rei;eksempel
かいわ(を)します;kaiwa (wo) shimasu;å ha en samtale
はなします;hanashimasu;å snakke
いいます;iimasu;å si, å fortelle
ききます;kikimasu;å høre, å lytte
みます;mimasu;å se, å se på
よみます;yomimasu;å lese
かきます;kakimasu;å skrive, å tegne
べんきょう(を)します;benkyou (wo) shimasu;å studere, å lære
れんしゅう(を)します;renshuu (wo) shimasu;å øve
よしゅう;yoshuu;forberedelse til time
ふくしゅう;fukushuu;repetisjon etter time
しゅくだい;shukudai;lekse
しけん;shiken;prøve, eksamen
テスト;tesuto;test
しつもん(を)します;shitsumon (wo) shimasu;å stille spørsmål
せつめい(を)します;setsumei (wo) shimasu;å forklare
そうだん(を)します;soudan (wo) shimasu;å rådføre seg, å konferere
チェック(を)します;chekku (wo) shimasu;å sjekke
コピー(を)します;kopii (wo) shimasu;å kopiere
