~を おしえて ください;~wo oshiete kudasai;vær så snill å lære meg ~
~って どういう いみですか;~tte dou iu imi desu ka;hva betyr ~
~をわすれました;~wo wasuremashita;jeg har glemt ~
~をみせて ください;~wo misete kudasai;vær så snill å vise meg ~
~をかして ください;~wo kashite kudasai;vær så snill å låne meg ~
まだです;mada desu;ikke ennå
おくれます;okuremasu;å komme for sent
やすみます;yasumimasu;å være borte/ha fri
もういちどいって ください;mou ichido itte kudasai;vær så snill å si det en gang til
もうすこし ゆっくりいって ください;mou sukoshi yukkuri itte kudasai;vær så snill å si det litt saktere
わかりました;wakarimashita;jeg forstår
わかりません;wakarimasen;jeg forstår ikke
