しごと;shigoto;jobb
いしゃ;isha;lege
エンジニア;enjinia;ingeniør
かいしゃいん;kaishain;kontoransatt
かいごし;kaigoshi;pleiearbeider
がくせい;gakusei;student
てんいん;tenin;butikkansatt
うんてんしゅ;untenshu;sjåfør
けんきゅうしゃ;kenkyuusha;forsker
しゅふ;shufu;hjemmeværende
かんごし;kangoshi;sykepleier
こうむいん;koumuin;offentlig ansatt
べんごし;bengoshi;advokat
しょくいん;shokuin;ansatt
きょうし;kyouju;professor
じえいぎょう;jieigyou;selvstendig næringsdrivende
はいゆう;haiyuu;skuespiller
のうか;nouka;bonde
アルバイト(バイト);arubaito(baito);deltidsjobb
パートタイム(パート);paatotaimu(paato);deltidsjobb
かいしゃ;kaisha;firma/selskap
がっこう;gakkou;skole
びょういん;byouin;sykehus
てんぽ;tenpo;butikk
しょくば;shokuba;arbeidsplass
~で はたらいて います;~de hataraite imasu;jeg jobber på/inne i ~
ねんきんで せいかつしています;nenkin de seikatsu shite imasu;jeg lever av pensjon
