たべもの;tabemono;mat
ごはん/ライス;gohan/raisu;ris
パン;pan;brød
シリアル;shiriaru;frokostblanding
ジャム;jamu;syltetøy
バター;batā;smør
さかな;sakana;fisk
えび;ebi;reke
かに;kani;krabbe
にく;niku;kjøtt
ぎゅうにく/ビーフ;gyuuniku/bīfu;storfe/kjøtt
ぶたにく/ポーク;butaniku/pōku;svinekjøtt
とりにく/チキン;toriniku/chikin;kylling
たまご;tamago;egg
やさい;yasai;grønnsak
チーズ;chīzu;ost
ヨーグルト;yōguruto;yoghurt
キャベツ;kyabetsu;kål
きゅうり;kyuuri;agurk
トマト;tomato;tomat
じゃがいも;jagaimo;potet
たまねぎ;tamanegi;løk
にんじん;ninjin;gulrot
レタス;retasu;salat
くだもの;kudamono;frukt
りんご;ringo;eple
いちご;ichigo;jordbær
バナナ;banana;banan
すいか;suika;vannmelon
ぶどう;budou;drue
みかん;mikan;mandarinappelsin
りんご;ringo;eple
オレンジ;orenji;appelsin
レモン;remon;sitron
おかし;okashi;snacks/godteri
ケーキ;kēki;kake
アイスクリーム;aisukurīmu;iskrem
クッキー;kukkī;kjeks
あめ;ame;slikkepinne/godteri
チョコレート;chokorēto;sjokolade
さとう;satou;sukker
しお;shio;salt
こしょう;koshou;pepper
しょうゆ;shouyu;soyasaus
こめ;kome;ris (upreparert)
とうふ;toufu;tofu
なっとう;nattou;fermenterte soyabønner
のり;nori;tang
みそ;miso;miso
わさび;wasabi;wasabi
