りょうり;ryoori;matlaging
カレー;karē;karrirett
サンドイッチ;sandoicchi;sandwich
スープ;sūpu;suppe
サラダ;sarada;salat
ピザ;piza;pizza
ハンバーガー;hanbāgā;hamburger
オムレツ;omuretsu;omelett
スパゲティ(パスタ);supageti(pasuta);spaghetti
ステーキ;sutēki;biff
チーズバーガー;chīzubāgā;osteburger
フライドポテト;furaidopoteto;frityrstekte poteter
ホットドッグ;hotto doggu;hot dog
にほんりょうり;nihon ryoori;japansk mat
~りょうり;~ryoori;~matrett
おにぎり(おむすび);onigiri(omusubi);risball
てんぷら;tenpura;tempura
おすし/すし;osushi/sushi;sushi
さしみ;sashimi;sashimi
ラーメン;rāmen;ramen
うどん;udon;udon
そば;soba;soba
みそしる;misoshiru;miso-suppe
べんとう;bentō;matpakke
やきそば;yakisoba;stekt soba
