いちにちのかつどう;ichinichi no katsudou;daglige rutiner
おきます;okimasu;å stå opp
ねます;nemasu;å legge seg
シャワーを あびます;shawaa o abimasu;å ta en dusj
はを みがきます;ha o migakimasu;å pusse tennene
おふろに はいります;ofuro ni hairimasu;å ta et bad
かおを あらいます;kao o araimasu;å vaske ansiktet
おけしょう(を) します;okeshou (o) shimasu;å sminke seg
ふくを きます;fuku o kimasu;å ta på seg klær
ひげを そります;hige o sorimasu;å barbere seg
ふくを ぬぎます;fuku o nugimasu;å ta av seg klær
~に いきます;~ ni ikimasu;å gå til ~
うちに かえります;uchi ni kaerimasu;å dra hjem
かいしゃ;kaisha;arbeid
がっこう;gakkou;skole
しごと(を) します;shigoto (o) shimasu;å jobbe
べんきょう(を)します;benkyou (o) shimasu;å studere
ざんぎょう(を)します;zangyou (o) shimasu;å jobbe overtid
アルバイト/バイト(を)します;arubaito/baito (o) shimasu;å jobbe deltid
しょくじ(を) します;shokuji (o) shimasu;å spise et måltid
あさ/ひる/ばんごはんをたべます;asa/hiru/bangohan o tabemasu;å spise frokost/lunsj/middag
かいもの(を) します;kaimono (o) shimasu;å handle
せんたく(を)します;sentaku (o) shimasu;å vaske klær
そうじ(を) します;souji (o) shimasu;å gjøre rent
りょうり(を) します;ryouri (o) shimasu;å lage mat
かじ(を) します;kaji (o) shimasu;å gjøre husarbeid
~の せわを します;~ no sewa o shimasu;å ta vare på ~
かたづけます;katazumemasu;å rydde opp
てつだいます;tetsudaimasu;å hjelpe til
あそびます;asobimasu;å leke/ha det gøy
やすみます;yasumimasu;å hvile/ta en pause
ゆっくりします;yukkuri shimasu;å slappe av
メール/ E メール(を) します;meeru/ E meeru (o) shimasu;å sende en e-post
インターネット(を)します;intaanetto (o) shimasu;å surfe på internett
ゲーム(を) します;geemu (o) shimasu;å spille spill
でんわ(を) します/かけます;denwa (o) shimasu/kakemasu;å ringe
おいのり(を)します;oinori (o) shimasu;å be
たばこを すいます;tabako o suimasu;å røyke
うんどう(を) します;undou (o) shimasu;å trene
さんぽ(を) します;sanpo (o) shimasu;å gå tur
ヨガ(を) します;yoga (o) shimasu;å gjøre yoga
ともだちが きます;tomodachi ga kimasu;venner kommer på besøk
~と おしゃべり(を) します;~ to oshaberi (o) shimasu;å prate med ~
しんぶんを よみます;shinbun o yomimasu;å lese avis
ほん;hon;bok
ざっし;zasshi;magasin
テレビを みます;terebi o mimasu;å se på TV
おんがくをききます;ongaku o kikimasu;å høre på musikk
にっきを かきます;nikki o kakimasu;å skrive dagbok
