いそがしい;isogashii;travel/opptatt
うれしい;ureshii;glad
おいしい;oishii;god (om mat)
(ひとが)おおい;(hito ga) ooi;mange (folk)
おもしろい;omoshiroi;interessant/morsom
かなしい;kanashii;trist
こわい;kowai;skummel
すばらしい;subarashii;fantastisk
たのしい;tanoshii;gøy/morsom
つまらない;tsumaranai;kjedelig
ながい;nagai;lang
むずかしい;muzukashii;vanskelig
やさしい;yasashii;lett/enkel/vennlig
あたたかい;atatakai;varm
あつい;atsui;varm/het
さむい;samui;kald
すずしい;suzushii;kjølig
きれい(な);kirei(na);vakker/ren
すき(な);suki(na);liker
たいへん(な);taihen(na);vanskelig/streng
つかれます;tsukaremasu;å bli sliten
