かぶき;kabuki;kabuki (tradisjonell japansk teater)
きもの;kimono;kimono (tradisjonell japansk drakt)
すもう;sumou;sumo (japansk bryting)
たいこ;taiko;japansk tromme
はなび;hanabi;fyrverkeri
はなびたいかい;hanabi taikai;fyrverkerifestival
まつり;matsuri;festival
コンサート;konsaato;konsert
コンテスト;kontesuto;konkurranse
ショー;shoo;show
パーティー;paatii;fest
カレンダー;karendaa;kalender
チケット;chiketto;billett
チラシ;chirashi;flygeblad
パンフレット;panfuretto;brosjyre
ポスター;posutaa;plakat
でかけます;dekakemasu;å gå ut
ともだちに あいます;tomodachi ni aimasu;å møte venner
