きせつのイベント;kisetsu no ibento;sesongarrangement
おしょうがつ/しょうがつ;oshougatsu/shougatsu;nyttår
なつやすみ;natsuyasumi;sommerferie
ふゆやすみ;fuyuyasumi;vinterferie
ゴールデンウィーク;goorudenwiiku;gulluke (langhelg i mai)
はつもうで;hatsumoude;første tempelbesøk i nyttår
ゆきまつり;yukimatsuri;snøfestival
はなみ;hanami;blomsterbeskuelse (kirsebærblomstring)
かいすいよく;kaisuiyoku;bading i sjøen
なつまつり;natsumatsuri;sommerfestival
ぼんおどり;bonodori;bon-dans (dans under bon-festivalen)
あきまつり;akimatsuri;høstfestival
ぶどうがり;budougari;drueplukking
もみじがり;momijigari;bladplukking (høstfarger)
