こうつう;koutsuu;trafikk
のりば;noriba;holdeplass
えき;eki;stasjon
バスてい;basutei;bussholdeplass
いりぐち;iriguchi;inngang
でぐち;deguchi;utgang
きたぐち;kitaguchi;nordinngang
みなみぐち;minamiguchi;sørinngang
ひがしぐち;higashiguchi;østinngang
にしぐち;nishiguchi;vestinngang
ひだり;hidari;venstre
みぎ;migi;høyre
まっすぐ;massugu;rett fram
ちゅうしゃじょう;chuushajou;parkeringsplass
くうしゃ;kuusha;ledig plass
とおり;toori;gate
しんごう;shingou;trafikklys
みち;michi;vei
にもつ;nimotsu;bagasje
ちず;chizu;kart
うんてんしゅ;untenshu;sjåfør
えきいん;ekiin;stasjonspersonale
けいさつかん;keisatsukan;politimann
