かいもの;kaimono;shopping
えん;en;yen
おかね;okane;penger
カード;kaado;kort (bankkort/kredittkort)
むりょう;muryou;gratis
ただ;tada;gratis
サイン(を します);sain(o shimasu);å signere
おつり;otsuri;vekslepenger
レシート;reshiito;kvittering
うりば;uriba;avdeling (i butikk)
おきゃくさん/きゃく;okyakusan/kyaku;kunde/gjest
てんいん;tenin;butikkansatt
いくらですか;ikura desu ka;hvor mye koster det?
~を ください;~wo kudasai;vær så snill å gi meg ~
~が ほしいです;~ga hoshii desu;jeg vil ha ~
かいもの(を)します;kaimono(o) shimasu;å handle
~を かいます;~wo kaimasu;å kjøpe ~
はらいます;haraimasu;å betale
