カレンダー;karendaa;kalender
~ねん;~nen;~år
~がつ;~gatsu;~måned
~にち;~nichi;~dag
げつようび;getsuyoubi;mandag
かようび;kayoubi;tirsdag
すいようび;suiyoubi;onsdag
もくようび;mokuyoubi;torsdag
きんようび;kinyoubi;fredag
どようび;doyoubi;lørdag
にちようび;nichiyoubi;søndag
ついたち;tsuitachi;første dag i måneden
ふつか;futsuka;andre dag i måneden
みっか;mikka;tredje dag i måneden
よっか;yokka;fjerde dag i måneden
いつか;itsuka;femte dag i måneden
むいか;muika;sjette dag i måneden
なのか;nanoka;sjuende dag i måneden
ようか;youka;åttende dag i måneden
ここのか;kokonoka;niende dag i måneden
とおか;tooka;tiende dag i måneden
じゅういちにち;juuichinichi;ellevte dag i måneden
じゅうににち;juuninichi;tolvte dag i måneden
じゅうさんにち;juusannichi;trettende dag i måneden
じゅうよっか;juuyokka;fjortende dag i måneden
じゅうごにち;juugonichi;femtende dag i måneden
じゅうろくにち;juurokunichi;sekstende dag i måneden
じゅうしちにち;juushichinichi;syttende dag i måneden
じゅうはちにち;juuhachinichi;attende dag i måneden
じゅうくにち;juukunichi;nittende dag i måneden
はつか;hatsuka;tyvende dag i måneden
にじゅういちにち;nijuuichinichi;tjueførste dag i måneden
にじゅうににち;nijuuninichi;tjueandre dag i måneden
にじゅうさんにち;nijuusannichi;tjuetredje dag i måneden
にじゅうよっか;nijuuyokka;tjuefjerde dag i måneden
にじゅうごにち;nijuugonichi;tjuefemte dag i måneden
にじゅうろくにち;nijuurokunichi;tjuesjette dag i måneden
にじゅうしちにち;nijuushichin ichi;tjuesyvende dag i måneden
にじゅうはちにち;nijuuhachinichi;tjueåttende dag i måneden
にじゅうくにち;nijuukunichi;tjueniende dag i måneden
さんじゅうにち;sanjuuninichi;trettiende dag i måneden
さんじゅういちにち;sanjuuichinichi;trettiførste dag i måneden
ひ;hi;dag
おととい;ototoi;i forgårs
きのう;kinou;i går
きょう;kyou;i dag
あした;ashita;i morgen
あさって;asatte;i overmorgen
まいにち;mainichi;hver dag
いちがつ;ichigatsu;januar
にがつ;nigatsu;februar
さんがつ;sangatsu;mars
しがつ;shigatsu;april
ごがつ;gogatsu;mai
ろくがつ;rokugatsu;juni
しちがつ;shichigatsu;juli
はちがつ;hachigatsu;august
くがつ;kugatsu;september
じゅうがつ;juugatsu;oktober
じゅういちがつ;juuichigatsu;november
じゅうにがつ;juunigatsu;desember
しゅう;shuu;uke
せんしゅう;senshuu;forrige uke
こんしゅう;konshuu;denne uken
らいしゅう;raishuu;neste uke
まいしゅう;maishuu;hver uke
つき;tsuki;måned
せんげつ;sengetsu;forrige måned
こんげつ;kongetsu;denne måneden
らいげつ;raigetsu;neste måned
まいつき;maitsuki;hver måned
とし;toshi;år
きょねん;kyonen;forrige år
ことし;kotoshi;dette året
らいねん;rainen;neste år
まいとし;maitoshi;hvert år
