じかん;jikan;tid
あさ;asa;morgen
ひる;hiru;ettermiddag
ばん;ban;kveld
よる;yoru;natt
ごぜん;gozen;formiddag
ごご;gogo;ettermiddag
いつ;itsu;når
なんじ;nanji;hvilken tid
~じ;~ji;klokka ~
はん;han;halv
ふん;fun;minutt
ぷん;pun;minutt
なんぷん;nanpun;hvor mange minutter
~ごろ;~goro;omtrent klokka ~
いちじ;ichiji;klokka ett
にじ;niji;klokka to
さんじ;sanji;klokka tre
よじ;yoji;klokka fire
ごじ;goji;klokka fem
ろくじ;rokuji;klokka seks
しちじ;shichiji;klokka sju
はちじ;hachiji;klokka åtte
くじ;kuji;klokka nine
じゅうじ;juuji;klokka ti
じゅういちじ;juuichiji;klokka elleve
じゅうにじ;juuniji;klokka tolv
じかん;jikan;time
いちじかん;ichijikan;en time
なんじかん;nanjikan;hvor mange timer
ひ;hi;dag
いちにち;ichinichi;en dag
なんにち;nannichi;hvor mange dager
しゅう;shuu;uke
いっしゅうかん;isshuukan;en uke
なんしゅうかん;nanshuukan;hvor mange uker
つき;tsuki;måned
いっかげつ;ikkagetsu;en måned
なんかげつ;nankagetsu;hvor mange måneder
とし;toshi;år
いちねん;ichinen;ett år
なんねん;nannen;hvor mange år
